Date,Open,High,Low,Close,,,
17-12-2018,1620,1639.75,1604.1,1635.5,30776,35.65,-15.5
14-12-2018,1615,1632.85,1590.25,1608,47469,42.6,7
13-12-2018,1589.65,1626.85,1577.8,1606.95,90014,49.05,-17.3
12-12-2018,1563.8,1590.3,1555.65,1582.7,58903,34.65,-18.9
11-12-2018,1518,1564.5,1476.3,1552.6,139170,88.2,-34.6
10-12-2018,1532.95,1571.5,1532.95,1554.9,117657,38.55,-21.95
07-12-2018,1582,1582,1532.35,1565.45,89067,49.65,16.55
06-12-2018,1591,1592,1562.15,1569.75,38796,29.85,21.25
05-12-2018,1634.7,1634.7,1594.95,1603.45,46644,39.75,31.25
04-12-2018,1650.05,1658,1632,1636.15,24096,26,13.9
03-12-2018,1642.5,1660.75,1637.1,1655.65,64232,23.65,-13.15
30-11-2018,1659,1673.6,1624.3,1631.55,112217,49.3,27.45
29-11-2018,1621,1670,1620.1,1659.75,419934,49.9,-38.75
28-11-2018,1589,1620,1588,1614,86177,32,-25
27-11-2018,1560,1589.7,1550,1584.45,109065,39.7,-24.45
26-11-2018,1530,1567.3,1530,1564.3,83561,37.3,-34.3
22-11-2018,1552.45,1564.4,1524,1529.15,43402,40.4,23.3
21-11-2018,1560,1568.2,1538.25,1547.05,63474,29.95,12.95
20-11-2018,1537.75,1567.25,1532.95,1558.35,91390,34.3,-20.6
19-11-2018,1503,1543.25,1487,1537.75,56471,56.25,-34.75
16-11-2018,1519.75,1526.2,1487.65,1498.85,54435,38.55,20.9
15-11-2018,1519.9,1532.6,1498.75,1513.8,44935,33.85,6.1
14-11-2018,1497,1528.25,1493.4,1513.35,50146,34.85,-16.35
13-11-2018,1492,1496.65,1464.1,1484.4,58051,32.55,7.6
12-11-2018,1510,1518,1479.65,1491.65,48677,38.35,18.35
09-11-2018,1496.9,1520,1480,1496.85,81803,40,0.05
07-11-2018,1482.55,1488.45,1477.35,1483.25,9731,11.1,-0.7
06-11-2018,1499,1511.45,1442.9,1475.5,93178,68.55,23.5
05-11-2018,1539.9,1539.9,1485,1491.7,119318,54.9,48.2
02-11-2018,1485,1555.1,1479.5,1542.45,178138,75.6,-57.45
01-11-2018,1415,1492,1397.4,1464.95,287059,94.6,-49.95
31-10-2018,1364.5,1435,1333.9,1424.45,315451,101.1,-59.95
30-10-2018,1420.95,1421.6,1350,1363.5,292568,71.6,57.45
29-10-2018,1468,1468,1376,1413,250171,92,55
26-10-2018,1501.7,1501.8,1436.55,1445.1,134684,65.25,56.6
25-10-2018,1503,1520.1,1475,1491.9,84828,45.1,11.1
24-10-2018,1490.4,1528.5,1483.15,1520.75,69391,45.35,-30.35
23-10-2018,1440,1497.3,1432.85,1473.4,184479,64.45,-33.4
22-10-2018,1586.95,1599.55,1423.85,1442.2,320271,175.7,144.75
19-10-2018,1596.5,1613,1568.85,1576.5,73288,44.15,20
17-10-2018,1650,1651,1600,1603.8,269962,51,46.2
16-10-2018,1638,1694.95,1615,1620.85,238110,79.95,17.15
15-10-2018,1667,1667,1592.9,1626.85,227750,74.1,40.15
12-10-2018,1610,1659.65,1602.05,1651.35,55655,57.6,-41.35
11-10-2018,1618,1618,1583.85,1592.3,36095,34.15,25.7
10-10-2018,1608.15,1663.95,1605.1,1639.45,262237,58.85,-31.3
09-10-2018,1602.55,1619,1590,1607.45,31626,29,-4.9
08-10-2018,1608,1627.35,1581.35,1601.05,43892,46,6.95
05-10-2018,1572,1637.7,1555.15,1609.9,119484,82.55,-37.9
04-10-2018,1616,1627.8,1553.55,1588.3,66907,74.25,27.7
03-10-2018,1649,1659.2,1607,1637.85,146553,52.2,11.15
01-10-2018,1657,1658.95,1616.75,1643.5,290240,42.2,13.5
28-09-2018,1692.75,1717.7,1669.1,1687.05,31857,48.6,5.7
27-09-2018,1710,1713.85,1675.05,1679.45,32125,38.8,30.55
26-09-2018,1708,1711.45,1681,1700.6,54357,30.45,7.4
25-09-2018,1675,1717.75,1649,1693.1,131818,68.75,-18.1
24-09-2018,1770,1770,1660,1674.65,91786,110,95.35
21-09-2018,1829.7,1830,1729.1,1761.7,156308,100.9,68
19-09-2018,1860,1918,1800,1804.6,35308,118,55.4
18-09-2018,1856.2,1892.1,1856,1861.45,168329,36.1,-5.25
17-09-2018,1869,1881.15,1846.85,1877.3,15329,34.3,-8.3
14-09-2018,1854,1882.55,1836.05,1873.6,35611,46.5,-19.6
12-09-2018,1834.15,1835,1805,1825.2,28239,30,8.95
11-09-2018,1839.6,1854.3,1820,1829.15,46464,34.3,10.45
10-09-2018,1870,1870,1820.45,1828.6,27145,49.55,41.4
07-09-2018,1877,1884.6,1868,1876.25,11142,16.6,0.75
06-09-2018,1865,1885.95,1852,1881,20710,33.95,-16
05-09-2018,1850.85,1864.75,1827.45,1856,17519,37.3,-5.15
04-09-2018,1900,1900.05,1843.05,1851.8,22318,57,48.2
03-09-2018,1905,1918,1890,1896.55,43466,28,8.45
31-08-2018,1873.1,1914,1864,1903.85,111727,50,-30.75
30-08-2018,1903,1905,1868,1876.2,42830,37,26.8
29-08-2018,1949.5,1949.5,1904,1907.15,42842,45.5,42.35
28-08-2018,1956,1967.9,1930,1933.4,21541,37.9,22.6
27-08-2018,1930,1961.8,1930,1948.35,121817,31.8,-18.35
24-08-2018,1974.9,1974.9,1920.85,1927.25,31254,54.05,47.65
23-08-2018,1970,1970,1952.3,1957.9,23586,17.7,12.1
21-08-2018,1995,1995,1967.6,1975.6,17798,27.4,19.4
20-08-2018,1990.4,1999,1986,1989.7,20353,13,0.7
17-08-2018,1989.8,1994.8,1982.15,1989.65,10069,12.65,0.15
16-08-2018,1990,1993.95,1975.6,1983.15,29583,18.35,6.85
14-08-2018,1995,2004,1981.7,1998.1,15762,22.3,-3.1
13-08-2018,1966.95,2000,1966,1993.35,17604,34,-26.4
10-08-2018,1984,1996.75,1962.7,1981.05,20601,34.05,2.95
09-08-2018,2007.05,2008.5,1971.65,1985.05,21243,36.85,22
08-08-2018,1990.7,2014.4,1986,2002.25,16788,28.4,-11.55
07-08-2018,2009.95,2010.15,1981.5,1995.2,16247,28.65,14.75
06-08-2018,2032.65,2032.65,1991.15,1994.6,255999,41.5,38.05
03-08-2018,2022.1,2037.9,2008.55,2015.85,42184,29.35,6.25
02-08-2018,1998.85,2032,1998.85,2021.55,28587,33.15,-22.7
01-08-2018,2002,2020.5,1991.6,2003.4,27139,28.9,-1.4
31-07-2018,1964.65,2000,1964.65,1994.4,21814,35.35,-29.75
30-07-2018,1986,1987,1961.2,1966,17128,25.8,20
27-07-2018,1975,1986,1955.75,1975.8,20013,30.25,-0.8
26-07-2018,1974,1985,1948,1957,20174,37,17
25-07-2018,1948,1971.1,1942,1965.45,52776,29.1,-17.45
24-07-2018,1960,1960,1940.65,1946.9,26793,19.35,13.1
23-07-2018,1903,1942,1900.75,1938.9,30677,41.25,-35.9
20-07-2018,1885.75,1914,1875.15,1902.3,38249,38.85,-16.55
19-07-2018,1892.35,1905.6,1880,1889.05,35750,25.6,3.3
18-07-2018,1910.05,1922.05,1885,1892.35,38107,37.05,17.7
17-07-2018,1926,1926.05,1892.05,1905.15,31320,34,20.85
16-07-2018,1929,1950,1918,1923.3,33491,32,5.7
13-07-2018,1939,1948.3,1919,1923.45,25122,29.3,15.55
12-07-2018,1921,1951,1921,1935.4,49614,30,-14.4
11-07-2018,1945,1990,1904,1914.85,79579,86,30.15
10-07-2018,1994,1994,1924.4,1934.1,114487,69.6,59.9
09-07-2018,1969,1969,1946,1954.6,189655,23,14.4
06-07-2018,1966,1970,1951.8,1958.85,12233,18.2,7.15
05-07-2018,1975,1990.85,1959.6,1963.65,17015,31.25,11.35
04-07-2018,1950,1983,1945,1974.9,32174,38,-24.9
03-07-2018,1945,1955,1934.55,1949.05,19678,20.45,-4.05
02-07-2018,1940,1954.8,1928.05,1945.55,14871,26.75,-5.55
29-06-2018,1969,1979.7,1934,1939.3,34093,45.7,29.7
28-06-2018,1963,1984.6,1948.05,1967.9,22441,36.55,-4.9
27-06-2018,1985,1995,1959.2,1965.5,15791,35.8,19.5
26-06-2018,1950,1990.5,1950,1983.45,55331,40.5,-33.45
25-06-2018,1959.9,1979.45,1950,1967.1,20610,29.45,-7.2
22-06-2018,1955,1964.4,1929,1954.4,19975,35.4,0.6
