Date,Open,High,Low,Close
07-09-2018,328.8,336.35,322.8,335.05
06-09-2018,330.6,331.3,325.85,328.45
05-09-2018,328.65,331.35,325,329.95
04-09-2018,335.8,336.75,327.05,328.3
03-09-2018,342.7,345,332.6,334.05
31-08-2018,345.8,346.9,338.7,342.65
30-08-2018,339.9,345.45,337.7,344.4
29-08-2018,338,342.65,336.05,340.65
28-08-2018,341.1,343.6,336.4,338.85
27-08-2018,331.25,342.05,331.25,339.9
24-08-2018,335.8,335.8,327.45,330.1
23-08-2018,337.9,338.7,334.9,336.9
21-08-2018,338.35,341.6,334.05,338.9
20-08-2018,341,342.35,337,338.35
17-08-2018,336.55,342.3,336,340.05
16-08-2018,330.9,339.15,328.85,334.45
14-08-2018,324.6,333.5,324.6,332.3
13-08-2018,322,327.35,321.95,325.25
10-08-2018,333.05,339.75,325.45,328.15
09-08-2018,320,345.5,319.6,332.95
08-08-2018,313.1,319.65,308.35,318.2
07-08-2018,315.15,318,310.5,313.1
06-08-2018,311,317.8,307,315.05
03-08-2018,300,306.65,297.8,304.8
02-08-2018,296.1,300.55,294.05,297.85
01-08-2018,302,305.4,296.3,299.05
31-07-2018,306.7,308.3,302.25,303.95
30-07-2018,298.2,308.35,294.5,307.25
27-07-2018,285,294.9,282.5,293.3
26-07-2018,275,286.4,273.2,285.8
25-07-2018,274.05,276.55,272.45,274.6
24-07-2018,274.9,277.85,273.25,274.5
23-07-2018,265,275.7,265,274.85
20-07-2018,261.95,267.6,261.95,266
19-07-2018,262.5,264.4,259.5,261.2
18-07-2018,266.75,267.1,261.15,262.6
17-07-2018,260.95,267.35,260.05,266.3
16-07-2018,266.7,266.95,256.5,259.3
13-07-2018,272.4,273.3,266.2,268.05
12-07-2018,271,273.65,269.45,272.4
11-07-2018,275,277,267.5,268.85
10-07-2018,272,275.85,272,273.4
09-07-2018,272.1,274.35,270.15,271.25
06-07-2018,270.15,271.95,267.05,270
05-07-2018,273.5,275.35,270.75,271.6
04-07-2018,273.15,274.45,271,273.2
03-07-2018,275,276.65,272.4,272.95
02-07-2018,275,279.95,271.2,277.45
29-06-2018,272,276,269.7,275.5
28-06-2018,278.8,278.8,268.3,271.15
27-06-2018,288.5,288.5,273.8,278.9
26-06-2018,287.4,288.8,284.75,288
25-06-2018,299.9,300.2,288.45,289.45
22-06-2018,298.1,302.7,295.5,300.85
21-06-2018,293.65,300.25,293.65,297.55
20-06-2018,292,294.35,291.05,293.25
19-06-2018,296.55,296.55,288.5,292
18-06-2018,284.95,293.9,283.5,292.5
15-06-2018,287,288.5,280.1,282.3
14-06-2018,291.5,291.5,284.15,284.65
13-06-2018,290,292.75,286.35,290.8
12-06-2018,287.15,289.15,285.35,287.25
11-06-2018,285,290.1,283.2,286.75
08-06-2018,292,292,285.5,288.3
07-06-2018,287.4,292.7,286.8,290.95
06-06-2018,284.8,286.65,281.2,283.8
05-06-2018,287.5,289.5,283.1,283.9
04-06-2018,293.75,294,285.55,286.2
01-06-2018,291.05,299.8,287.15,289.5
31-05-2018,284.1,287.9,279.35,285.6
30-05-2018,287,288.1,283.1,285.25
29-05-2018,299,300,289,290.65
28-05-2018,294.15,302.25,293.05,299.25
25-05-2018,297.5,300.9,295,296.5
24-05-2018,293,299,291.5,297.25
23-05-2018,289.4,298.2,288,291.7
22-05-2018,288.55,293.8,287,290.75
21-05-2018,287.5,293,287.5,289.65
18-05-2018,295.9,295.9,284.9,286.4
17-05-2018,298.25,299.65,294.55,295.9
16-05-2018,305,305,295.55,297.9
15-05-2018,309.7,317.35,305.5,308
14-05-2018,310.4,311.1,305.25,309.95
11-05-2018,307,312,307,311.1
10-05-2018,309.2,313,305.8,307
09-05-2018,306.8,309.7,304.4,307.1
08-05-2018,302.5,314.5,300,309.25
07-05-2018,284.35,292,282.95,289.4
04-05-2018,280.5,285.5,278.45,282.9
03-05-2018,278,283.45,277.8,281.8
02-05-2018,284.65,284.65,275.5,277.1
30-04-2018,289,290.9,282.4,284.45
27-04-2018,276.15,291.7,276.05,288.05
26-04-2018,280,280.1,275.55,278.75
25-04-2018,282.8,285.7,276.95,278.9
24-04-2018,279,286.55,279,284.2
23-04-2018,280,282.65,275.35,279.55
20-04-2018,288.9,290.15,279.65,281.95
19-04-2018,290.2,291,287.25,289.15
18-04-2018,293,294.8,289,290.2
17-04-2018,288,293.25,287,291.7
16-04-2018,285.7,288.85,284.75,287.4
13-04-2018,287.5,291.05,285.9,288.2
12-04-2018,284.2,289.9,283.85,286.45
11-04-2018,289.8,289.8,282.4,284.1
10-04-2018,280,294.4,279.8,288.9
09-04-2018,278.55,283.45,274.7,280.45
06-04-2018,278.15,283,277.2,280.6
05-04-2018,268.9,279.2,267.9,277.9
04-04-2018,267.8,273.4,265,268.45
03-04-2018,260.5,271.05,260.05,269.6
02-04-2018,272,274,258.9,261.9
28-03-2018,283,283,277.4,278.4
27-03-2018,283,287.8,281.3,283.9
26-03-2018,275.55,282.8,275.55,281.45
23-03-2018,277,277.85,273.65,275.8
22-03-2018,289.6,289.7,281.15,283.55
21-03-2018,294.55,296.5,287.5,289.6
20-03-2018,292.55,297,290.35,291.75
19-03-2018,298.1,299.95,291.3,295
16-03-2018,302.8,302.8,297.4,298.1
15-03-2018,306.9,306.9,300.65,301.45
14-03-2018,301.05,307.3,298.1,306.35
13-03-2018,300.7,306.85,300,304
12-03-2018,294.3,301.9,293.75,300.7
09-03-2018,300.95,300.95,290.65,292.7
08-03-2018,288,297.95,288,296.95
07-03-2018,292,294,285.3,286.7
06-03-2018,308.4,308.4,294,295.1
05-03-2018,304.8,306.35,299.5,303.1
01-03-2018,313,313.95,304.35,305.25
28-02-2018,315,317,311.2,313.5
27-02-2018,329,329,319.05,319.65
26-02-2018,323.1,327.75,323.1,327
23-02-2018,319.5,323.5,318.5,321.3
22-02-2018,318.9,319.1,314.05,318
21-02-2018,315,320.3,315,319.3
20-02-2018,320.95,324,316.55,317.65
19-02-2018,325,330,315.25,319.75
16-02-2018,331,334,318.85,321
