Date,Open,High,Low,Close
28-09-2018,600.9,618,593.85,612.35
27-09-2018,618.25,619,590.35,598.7
26-09-2018,621.45,623.95,612.05,615.9
25-09-2018,599.6,620,590.45,615.25
24-09-2018,600,605.75,588.5,597.55
21-09-2018,619.6,634,548.3,599.4
19-09-2018,613.4,622.05,602.1,609.2
18-09-2018,624.45,655,606,608.45
17-09-2018,637,637,622.25,626.05
14-09-2018,640.05,643.25,632.2,636.25
12-09-2018,655.3,661.9,630,635.55
11-09-2018,653.05,665,647.85,650.5
10-09-2018,645,676.9,643.3,651.55
07-09-2018,639.05,648,632.35,645.15
06-09-2018,642.4,643.7,625.6,639.05
05-09-2018,643,646.3,631.55,637.4
04-09-2018,637,644,622.65,640.5
03-09-2018,650.5,653.05,629.35,631.75
31-08-2018,651,653.85,642,649.2
30-08-2018,660.1,671,643.6,649.55
29-08-2018,658.65,667.7,653.3,656.55
28-08-2018,651.1,662.8,642.8,660.6
27-08-2018,640.15,651.3,640.15,650.05
24-08-2018,637.5,642.75,634,639.6
23-08-2018,643,643.5,629.05,631.8
21-08-2018,625,638.85,617.7,636.2
20-08-2018,634.9,634.9,622.5,624.2
17-08-2018,631,634.8,620.95,627.1
16-08-2018,614.95,634.5,611.1,623.85
14-08-2018,607.95,621.15,605,618.3
13-08-2018,613.9,616,603.2,605.3
10-08-2018,621,623.2,612.15,615.65
09-08-2018,596,622.95,595,619.45
08-08-2018,595.75,598.7,586.8,596.4
07-08-2018,596.5,606.6,583.6,592.05
06-08-2018,574.6,603.9,574.6,596.5
03-08-2018,547.8,578.25,546,574.35
02-08-2018,546.5,550.9,539.4,546.1
01-08-2018,552.45,555.55,538.65,544.9
31-07-2018,582,584.95,548,550.1
30-07-2018,555,570,551.1,568.45
27-07-2018,545,555,538,553.65
26-07-2018,537,543.9,527,541.65
25-07-2018,547,547.5,529.45,531.85
24-07-2018,542.95,549,538.45,546
23-07-2018,534.5,544.95,531.05,540.8
20-07-2018,527.6,536.45,524.95,534.45
19-07-2018,528,536.9,518.85,527.3
18-07-2018,542.35,542.8,515.85,524.2
17-07-2018,523,540,519.8,538.05
16-07-2018,524,529.75,518.55,523.1
13-07-2018,540,540.8,520.5,523.9
12-07-2018,539.45,545,535.25,537.25
11-07-2018,533.4,541.75,531,536.6
10-07-2018,530,534.9,522.1,532.55
09-07-2018,514.2,528.5,514.2,523.65
06-07-2018,510.05,516.5,510.05,514.25
05-07-2018,515.55,517.5,509.4,510.9
04-07-2018,512,515.95,507.95,514.3
03-07-2018,512.6,520,509.7,512
02-07-2018,511,514.95,503.5,512.6
29-06-2018,506.35,514.3,499.05,510.4
28-06-2018,510,514.6,500.45,504.95
27-06-2018,516.6,516.6,502.05,507.6
26-06-2018,520,520,511.95,514.05
25-06-2018,524.65,524.65,513,515.15
22-06-2018,515.45,526,510.55,524.65
21-06-2018,523.95,523.95,511.8,513.25
20-06-2018,521.9,527.2,517.5,519.15
19-06-2018,525,525,514.4,516.75
18-06-2018,529,531.1,521,522.05
15-06-2018,528.7,534.65,516.35,528
14-06-2018,543.45,543.45,530.2,531.75
13-06-2018,538.25,551.85,537.15,539.75
12-06-2018,541,546.55,535.75,536.8
11-06-2018,539.95,544.8,531.05,540.1
08-06-2018,542,542,535.3,536.45
07-06-2018,533,549.9,532.5,542.15
06-06-2018,530,533.65,525.3,530.2
05-06-2018,536,536.55,523.7,529.8
04-06-2018,540,542,531.55,536.05
01-06-2018,545,545,532.75,537.15
31-05-2018,543,551.6,532.45,543.3
30-05-2018,545,545,535.35,539.9
29-05-2018,546.5,549.7,542.65,545.9
28-05-2018,542.25,547.75,541.5,546.45
25-05-2018,535,544.5,532.5,538.45
24-05-2018,521.4,537,521.4,534.45
23-05-2018,522,528.3,519.45,520.35
22-05-2018,528.9,533.15,521.45,523.3
21-05-2018,533,560,521.35,528.7
18-05-2018,538,549,529.2,532.7
17-05-2018,541,556,535.85,539.5
16-05-2018,547.5,552.75,540.7,549.35
15-05-2018,553.9,562.85,547.45,549.45
14-05-2018,552,558.7,548.25,552.25
11-05-2018,547,555.4,545.1,553.2
10-05-2018,548.5,554,542.35,547.65
09-05-2018,541.5,550,537.05,548.6
08-05-2018,535.15,546.85,533.7,541.25
07-05-2018,525,537.25,523.05,534.95
04-05-2018,533.05,534.95,519.1,520.3
03-05-2018,518,538.3,518,532.4
02-05-2018,520,527.45,515.6,523.45
30-04-2018,535.05,535.75,514,518.05
27-04-2018,479,555.55,479,538.9
26-04-2018,498.4,501.3,484,494.55
25-04-2018,505,509,497,498.4
24-04-2018,506.45,514.8,503.6,505.25
23-04-2018,509.9,511.2,500.3,506.45
20-04-2018,514.2,514.25,503.2,505.85
19-04-2018,520.35,522.5,509.25,513.5
18-04-2018,535,536.3,517.15,518.7
17-04-2018,544.7,544.85,530.8,532.55
16-04-2018,538.5,544,531.2,542.2
13-04-2018,551,555,536.25,541.9
12-04-2018,535.35,550,534.6,548.3
11-04-2018,550,552,534.1,539.5
10-04-2018,523.1,549.5,522.5,546
09-04-2018,502.8,521,502.35,517.9
06-04-2018,505,505,495.5,500.7
05-04-2018,499.45,504.35,492.6,503.15
04-04-2018,502,504,477.5,490.15
03-04-2018,493.1,505.65,493.1,503.3
02-04-2018,509.4,509.4,492.5,498.2
28-03-2018,511.25,512.15,501.55,509.4
27-03-2018,509.8,522,509,511.25
26-03-2018,500,509.25,495.35,507.5
23-03-2018,511,511,496.55,501
22-03-2018,524.9,525.35,517,518.3
21-03-2018,520.6,532,516,525.35
20-03-2018,513.4,524.95,500,520.9
19-03-2018,521.15,530,517.2,520.25
16-03-2018,532.9,533,520.8,523.45
15-03-2018,531.1,539,528,528.95
14-03-2018,527.2,537,522.9,535.55
13-03-2018,519,534.05,515.35,530.8
12-03-2018,506.05,521.4,506,519.2
09-03-2018,521.2,521.7,502.9,505.35
08-03-2018,517.5,523.7,508,520.15
07-03-2018,513.45,523.95,507.55,512.8
06-03-2018,525.6,530.4,511,516.8
05-03-2018,524.8,529,520.25,523.65
01-03-2018,525.45,534.8,522.25,526.1
28-02-2018,535,535.9,521,529.6
27-02-2018,550.55,551.75,535.4,537.5
26-02-2018,537.2,554.6,537.2,552.3
23-02-2018,525,538.4,525,536.55
22-02-2018,533.6,533.7,527.25,530
21-02-2018,533.7,537.8,524.2,535.2
20-02-2018,542,547.5,529.6,531.7
19-02-2018,537.75,542.85,527.1,539.45
16-02-2018,544.2,548.9,534.85,537.75
15-02-2018,534.55,554.3,531,543.75
14-02-2018,563.2,565,540.5,543.95
12-02-2018,565.75,567.5,555,562.8
09-02-2018,559.9,579,551.2,557.5
08-02-2018,560.55,576.9,560.55,568.5
07-02-2018,589.3,598.8,554.5,558.7
06-02-2018,544.05,576.45,534.5,564.1
05-02-2018,558,568.4,547.55,566.1
02-02-2018,581.1,585,561.75,564.95
01-02-2018,592,609,585.95,590.2
31-01-2018,590.05,595.75,587.4,593.4
30-01-2018,608,609.8,577,593.4
29-01-2018,617,620.5,603.45,605.4
25-01-2018,610,617,602,613.75
24-01-2018,622,622,606.3,607.9
23-01-2018,616.1,627.5,611.45,618.9
22-01-2018,591,621.35,583.15,611.05
19-01-2018,586.7,594.9,581.3,590.25
18-01-2018,599.7,599.7,578.2,583.7
17-01-2018,561,588,560,584.75
16-01-2018,561.55,566.95,556.25,558.75
15-01-2018,555.75,564.3,555.75,560.7
12-01-2018,560,563.65,552.85,555.75
11-01-2018,561.95,563.05,554.2,558.25
10-01-2018,566.9,568,560.9,562.55
09-01-2018,565,572.45,564,565.15
08-01-2018,563.15,567.55,563.1,565.35
05-01-2018,562,567,557.2,563.1
04-01-2018,564.95,564.95,557.85,559.3
03-01-2018,560.05,565.5,555.5,560.35
02-01-2018,563.35,568.5,556.25,559.7
01-01-2018,562.4,569.6,560.2,564.85
